UNIX time,value,sumcheck
1609718993,1,4
1609718993,1,5
1609718994,1,6
1609718995,1,7
1609719001,1,8
1609719123,1,9
1609719636,-1,8
1609722108,-1,7
1609730640,1,8
1609731527,1,9
1609733477,-1,8
1609733486,-1,7
1609733487,-1,6
1609733487,-1,5
1609735321,1,6
1609736431,1,7
1609736816,1,8
1609736870,1,9
1609737078,1,10
1609737190,1,11
1609737355,1,12
1609737410,-1,11
1609737882,1,12
1609737913,1,13
1609738044,1,14
1609738050,1,15
1609738155,1,16
1609738361,1,17
1609738851,1,18
1609738964,1,19
1609739002,1,20
1609739005,1,21
1609739261,1,22
1609739365,-1,21
1609739424,1,22
1609739439,1,23
1609739853,1,24
1609740022,1,25
1609740154,1,26
1609740329,1,27
1609740334,1,28
1609740577,1,29
1609740946,1,30
1609741077,1,31
1609741394,1,32
1609741428,1,33
1609741688,1,34
1609741741,1,35
1609741832,1,36
1609741845,1,37
1609741871,1,38
1609741894,1,39
1609742494,1,40
1609742961,1,41
1609742969,1,42
1609743093,1,43
1609743362,1,44
1609743424,-1,43
1609743486,1,44
1609743539,1,45
1609743650,1,46
1609743792,1,47
1609743890,1,48
1609743928,1,49
1609743944,1,50
1609743980,1,51
1609744292,1,52
1609744341,1,53
1609744651,1,54
1609745013,1,55
1609745480,1,56
1609745621,-1,55
1609745858,1,56
1609745992,1,57
1609746162,1,58
1609746320,-1,57
1609746327,1,58
1609746895,1,59
1609746911,1,60
1609747092,-1,59
1609747653,1,60
1609747659,1,61
1609748180,1,62
1609750229,-1,61
1609750601,1,62
1609750792,-1,61
1609751585,1,62
1609751808,-1,61
1609752367,1,62
1609752612,-1,61
1609753088,1,62
1609753464,1,63
1609753888,1,64
1609754208,-1,63
1609754437,1,64
1609754882,1,65
1609755327,-1,64
1609755694,1,65
1609756170,-1,64
1609756820,-1,63
1609756929,1,64
1609757061,1,65
1609757396,-1,64
1609757506,-1,63
1609758496,-1,62
1609758572,1,63
1609758640,1,64
1609758643,-1,63
1609758770,-1,62
1609759052,-1,61
1609759075,-1,60
1609759239,-1,59
1609759433,-1,58
1609759495,-1,57
1609759534,1,58
1609759642,-1,57
1609759724,-1,56
1609760144,-1,55
1609760739,-1,54
1609761409,-1,53
1609762428,1,54
1609762720,1,55
1609763565,1,56
1609764179,1,57
1609764570,1,58
1609764584,1,59
1609765057,1,60
1609765116,1,61
1609765984,-1,60
1609767252,1,61
1609767309,-1,60
1609767586,1,61
1609767658,-1,60
1609767991,1,61
1609768166,-1,60
1609768261,1,61
1609768386,1,62
1609768411,-1,61
1609770549,-1,60
1609771203,-1,59
1609771439,1,60
1609771852,-1,59
1609771891,1,60
1609771960,-1,59
1609772893,-1,58
1609772968,-1,57
1609773112,-1,56
1609773381,-1,55
1609773830,-1,54
1609773895,-1,53
1609773897,-1,52
1609773919,-1,51
1609773997,-1,50
1609774096,-1,49
1609774214,-1,48
1609774256,1,49
1609774325,-1,48
1609774540,1,49
1609775132,-1,48
1609775446,-1,47
1609775709,-1,46
1609775751,-1,45
1609775832,-1,44
1609776084,-1,43
1609776268,-1,42
1609776462,-1,41
1609776504,-1,40
1609776600,-1,39
1609776639,1,40
1609776684,-1,39
1609777003,-1,38
1609777010,-1,37
1609777205,-1,36
1609777226,-1,35
1609777262,-1,34
1609777375,-1,33
1609777407,1,34
1609777485,-1,33
1609777490,-1,32
1609777498,-1,31
1609777530,-1,30
1609777556,-1,29
1609777587,-1,28
1609778507,-1,27
1609778658,1,28
1609778661,1,29
1609778662,1,30
1609778807,-1,29
1609778864,-1,28
1609779008,-1,27
1609779008,-1,26
1609779009,-1,25
1609779243,-1,24
1609779628,-1,23
1609779704,1,24
1609779717,1,25
1609779892,-1,24
1609780360,-1,23
1609780521,-1,22
1609780524,-1,21
1609780533,-1,20
1609781066,-1,19
1609781074,-1,18
1609781175,-1,17
1609781452,-1,16
1609781794,-1,15
1609782256,1,16
1609782339,-1,15
1609782580,-1,14
1609782978,-1,13
1609783015,-1,12
1609783073,-1,11
1609783343,-1,10
1609785091,-1,9
1609785439,-1,8
1609785618,-1,7
1609786052,-1,6
1609789221,-1,5
1609789432,1,6
1609789439,1,7
1609789517,1,8
1609789752,-1,7
1609789758,-1,6
1609789759,-1,5
1609790204,-1,4
1609792638,1,5
1609792638,1,6
1609792881,-1,5
1609792993,-1,4
1609793008,1,5
1609793012,1,6
1609793013,1,7
1609793013,1,8
1609793360,-1,7
1609793360,-1,6
1609793363,-1,5
1609793375,-1,4
1609795177,1,5
1609800178,1,6
1609800603,-1,5
1609801929,-1,4
1609820267,1,5
1609821772,1,6
1609821898,1,7
1609822809,1,8
1609822855,1,9
1609823156,1,10
1609823820,-1,9
1609823867,1,10
1609824090,1,11
1609824327,1,12
1609824330,1,13
1609824439,1,14
1609825628,1,15
1609825648,1,16
1609825760,1,17
1609825774,1,18
1609825894,1,19
1609826235,1,20
1609826454,1,21
1609826458,1,22
1609826558,1,23
1609826641,1,24
1609826725,1,25
1609827022,1,26
1609827580,1,27
1609828135,1,28
1609828165,1,29
1609828238,1,30
1609828364,1,31
1609828369,1,32
1609828388,1,33
1609828396,1,34
1609828830,1,35
1609828972,1,36
1609829001,1,37
1609829015,1,38
1609829026,-1,37
1609829038,-1,36
1609829139,1,37
1609829383,-1,36
1609829387,-1,35
1609829399,1,36
1609829401,1,37
1609829526,1,38
1609829544,1,39
1609829613,1,40
1609829616,1,41
1609829861,1,42
1609829913,1,43
1609829931,1,44
1609829993,1,45
1609830015,1,46
1609830302,1,47
1609830538,1,48
1609830605,-1,47
1609830621,1,48
1609830758,1,49
1609832078,1,50
