DateTime,Temperature per Hour,Precipitation per Hour,Snowfall Hourly
1609439400.0,0.8,0.03,0.0
1609443000.0,1.1,0.0,0.0
1609446600.0,1.1,0.0,0.0
1609450200.0,1.2,0.1,0.0
1609453800.0,1.3,0.17,0.0
1609457400.0,1.6,0.8,0.0
1609461000.0,1.5,0.86,0.0
1609464600.0,1.4,0.68,0.0
1609468200.0,1.2,0.34,0.0
1609471800.0,0.9,0.31,0.0
1609475400.0,1.0,0.45,0.0
1609479000.0,1.1,0.42,0.0
1609482600.0,1.3,0.35,0.0
1609486200.0,1.3,0.09,0.0
1609489800.0,0.4,0.03,0.0
1609493400.0,0.8,0.0,0.0
1609497000.0,1.2,0.0,0.0
1609500600.0,1.6,0.0,0.0
1609504200.0,1.6,0.0,0.0
1609507800.0,1.4,0.0,0.0
1609511400.0,1.0,0.0,0.0
1609515000.0,0.5,0.0,0.0
1609518600.0,0.2,0.0,0.0
1609522200.0,-0.1,0.0,0.0
1609525800.0,0.6,0.0,0.0
1609529400.0,0.3,0.0,0.0
1609533000.0,0.4,0.0,0.0
1609536600.0,0.2,0.0,0.0
1609540200.0,0.1,0.0,0.0
1609543800.0,-0.1,0.0,0.0
1609547400.0,-0.3,0.0,0.0
1609551000.0,-0.8,0.0,0.0
1609554600.0,-0.9,0.0,0.0
1609558200.0,-1.0,0.0,0.0
1609561800.0,-0.9,0.0,0.0
1609565400.0,-0.8,0.0,0.0
1609569000.0,-1.1,0.0,0.0
1609572600.0,-1.2,0.0,0.0
1609576200.0,0.3,0.0,0.0
1609579800.0,0.7,0.0,0.0
1609583400.0,0.9,0.0,0.0
1609587000.0,1.0,0.0,0.0
1609590600.0,1.1,0.0,0.0
1609594200.0,0.6,0.0,0.0
1609597800.0,0.4,0.0,0.0
1609601400.0,0.1,0.0,0.0
1609605000.0,-0.2,0.0,0.0
1609608600.0,-0.1,0.0,0.0
1609612200.0,-0.4,0.0,0.0
1609615800.0,-0.8,0.0,0.0
1609619400.0,-0.8,0.0,0.0
1609623000.0,-0.7,0.0,0.0
1609626600.0,-0.7,0.0,0.0
1609630200.0,-0.7,0.0,0.0
1609633800.0,-0.9,0.0,0.0
1609637400.0,-0.8,0.0,0.0
1609641000.0,-1.8,0.01,0.0
1609644600.0,-1.6,0.03,0.0
1609648200.0,-1.4,0.21,0.3
1609651800.0,-2.4,0.02,0.0
1609655400.0,-1.8,0.1,0.0
1609659000.0,-2.2,0.0,0.0
1609662600.0,-1.6,0.0,0.0
1609666200.0,-0.5,0.0,0.0
1609669800.0,0.1,0.0,0.0
1609673400.0,0.3,0.0,0.0
1609677000.0,0.3,0.0,0.0
1609680600.0,0.2,0.0,0.0
1609684200.0,-0.5,0.0,0.0
1609687800.0,-1.2,0.0,0.0
1609691400.0,-1.5,0.0,0.0
1609695000.0,-1.9,0.0,0.0
1609698600.0,-1.9,0.0,0.0
1609702200.0,-2.3,0.0,0.0
1609705800.0,-2.4,0.0,0.0
1609709400.0,-2.7,0.0,0.0
1609713000.0,-3.2,0.0,0.0
1609716600.0,-3.4,0.0,0.0
1609720200.0,-3.3,0.0,0.0
1609723800.0,-3.6,0.0,0.0
1609727400.0,-3.7,0.0,0.0
1609731000.0,-3.8,0.0,0.0
1609734600.0,-3.9,0.0,0.0
1609738200.0,-4.0,0.0,0.0
1609741800.0,-4.2,0.0,0.0
1609745400.0,-4.1,0.0,0.0
1609749000.0,-3.2,0.0,0.0
1609752600.0,-1.7,0.0,0.0
1609756200.0,-0.5,0.0,0.0
1609759800.0,-0.1,0.0,0.0
1609763400.0,0.0,0.0,0.0
1609767000.0,-0.0,0.0,0.0
1609770600.0,-0.2,0.0,0.0
1609774200.0,-1.0,0.0,0.0
1609777800.0,-1.4,0.0,0.0
1609781400.0,-2.4,0.0,0.0
1609785000.0,-2.4,0.0,0.0
1609788600.0,-2.8,0.0,0.0
1609792200.0,-3.2,0.0,0.0
1609795800.0,-3.7,0.0,0.0
1609799400.0,-3.8,0.0,0.0
1609803000.0,-3.7,0.0,0.0
1609806600.0,-3.5,0.0,0.0
1609810200.0,-3.5,0.0,0.0
1609813800.0,-3.5,0.0,0.0
1609817400.0,-3.9,0.0,0.0
1609821000.0,-3.8,0.0,0.0
1609824600.0,-3.8,0.0,0.0
1609828200.0,-3.9,0.0,0.0
1609831800.0,-4.1,0.0,0.0
1609835400.0,-2.1,0.0,0.0
1609839000.0,-1.7,0.0,0.0
1609842600.0,-0.6,0.0,0.0
1609846200.0,0.3,0.0,0.0
1609849800.0,0.6,0.0,0.0
1609853400.0,0.3,0.0,0.0
1609857000.0,-0.4,0.0,0.0
1609860600.0,-1.9,0.0,0.0
1609864200.0,-2.2,0.0,0.0
1609867800.0,-2.3,0.0,0.0
1609871400.0,-2.4,0.0,0.0
1609875000.0,-2.5,0.0,0.0
1609878600.0,-2.5,0.0,0.0
1609882200.0,-2.6,0.0,0.0
1609885800.0,-3.2,0.0,0.0
1609889400.0,-3.2,0.0,0.0
1609893000.0,-3.3,0.0,0.0
1609896600.0,-3.2,0.0,0.0
1609900200.0,-2.8,0.0,0.0
1609903800.0,-2.4,0.0,0.0
1609907400.0,-2.1,0.0,0.0
1609911000.0,-2.1,0.0,0.0
1609914600.0,-2.2,0.0,0.0
1609918200.0,-2.1,0.0,0.0
1609921800.0,-1.2,0.0,0.0
1609925400.0,-0.7,0.0,0.0
1609929000.0,-0.4,0.0,0.0
1609932600.0,-0.1,0.0,0.0
1609936200.0,-0.0,0.04,0.0
1609939800.0,0.2,0.0,0.0
1609943400.0,0.2,0.07,0.0
1609947000.0,-0.6,0.06,0.0
1609950600.0,-1.2,0.0,0.0
1609954200.0,-1.7,0.0,0.0
1609957800.0,-1.5,0.0,0.0
1609961400.0,-1.5,0.0,0.0
1609965000.0,-1.8,0.0,0.0
1609968600.0,-2.0,0.0,0.0
1609972200.0,-1.9,0.0,0.0
1609975800.0,-2.7,0.0,0.0
1609979400.0,-2.8,0.0,0.0
1609983000.0,-2.8,0.0,0.0
1609986600.0,-3.1,0.0,0.0
1609990200.0,-3.1,0.0,0.0
1609993800.0,-3.5,0.0,0.0
1609997400.0,-3.3,0.0,0.0
1610001000.0,-3.6,0.0,0.0
