start,end
1593734400.0,1596412800.0
1598227200.0,1600905600.0
1611532800.0,1614211200.0
1610409600.0,1613088000.0
1609718400.0,1612396800.0
1594425600.0,1594598400.0
1608681600.0,1608786000.0
1597881600.0,1629417600.0
1594771200.0,1597449600.0
1598486400.0,1598659200.0
1613088000.0,1615507200.0
1613088000.0,1615507200.0
1612828800.0,1615248000.0
1607731200.0,1610409600.0
1613433600.0,1615852800.0
1608163200.0,1639699200.0
1604880000.0,1607472000.0
1604880000.0,1607472000.0
1599350400.0,1630886400.0
1604275200.0,1606867200.0
1602892800.0,1605571200.0
1602720000.0,1602824400.0
1602288000.0,1604966400.0
1602460800.0,1605139200.0
1602460800.0,1605139200.0
1601856000.0,1604534400.0
1601683200.0,1604361600.0
1600905600.0,1603497600.0
1592006400.0,1594598400.0
1600041600.0,1631577600.0
1586995200.0,1618531200.0
1586908800.0,1589500800.0
1588636800.0,1620172800.0
1589760000.0,1621296000.0
1591056000.0,1593648000.0
1593993600.0,1594080000.0
1593475200.0,1596067200.0
1600646400.0,1603238400.0
1593820800.0,1593993600.0
1579651200.0,1582329600.0
1594252800.0,1594339200.0
1610582400.0,1613260800.0
1609718400.0,1612396800.0
1604275200.0,1606867200.0
1604275200.0,1606867200.0
1603756800.0,1606435200.0
1602547200.0,1605225600.0
1602633600.0,1605312000.0
1611619200.0,1643155200.0
1607472000.0,1607576400.0
1613520000.0,1615939200.0
1612915200.0,1615334400.0
1613001600.0,1615420800.0
1612828800.0,1615248000.0
1601856000.0,1604534400.0
1614556800.0,1617235200.0
1612915200.0,1613192400.0
1612915200.0,1644451200.0
1612828800.0,1615248000.0
1607472000.0,1610150400.0
1607299200.0,1609977600.0
1606780800.0,1609459200.0
1606694400.0,1606798800.0
1606262400.0,1608854400.0
1604361600.0,1604466000.0
1605139200.0,1607731200.0
